Category,Subcategory,Item,Manufacturer,Model/Part#,Supplier,Supplier SKU,URL,Qty,Unit,Unit Price (USD),Total Price (USD),Unit Weight (g),Total Weight (g),Voltage,Current,Notes,Version/Rev,Footprint/Size,Where Installed
Electronics,MCU,ESP32-WROOM Dev Board,Espressif,ESP32-DEVKITC,Amazon,ESP32-DEVKITC,https://example.com/esp32,1,ea,12.95,12.95,25,25,5,0.5,Drone controller board,B1,27x53 mm,Drone bay
Electronics,Sensors,MPU-6050 IMU,InvenSense,MPU-6050,Amazon,MPU6050-BOB,https://example.com/mpu6050,1,ea,6.50,6.50,5,5,3.3,0.01,Mount on vibration foam,B1,20x15 mm,Drone frame
Electronics,Radio,HC-12 Module,HC,HC-12,Amazon,HC12-433,https://example.com/hc12,1,ea,8.99,8.99,10,10,3.3,0.1,Share channel with headset,B1,27x14 mm,Drone side link
Electronics,Servo,HobbyPark 12 g Digital Servo,HobbyPark,HP-DG12,Amazon,HPDG12,https://example.com/servo,2,ea,14.49,28.98,12,24,5,1.2,Pan and tilt axes,B1,23x12x29 mm,Gimbal
Electronics,Power,5 V 3 A BEC,Castle Creations,CC-BEC,Amazon,CCBEC,https://example.com/bec,1,ea,24.99,24.99,35,35,5,3,Supply for servos,B1,40x25x10 mm,Power system
Electronics,Capacitor,470 µF 10 V Electrolytic,Nichicon,UHE1A471MPD,Digikey,493-1653-ND,https://example.com/cap,1,ea,0.80,0.80,3,3,5,3,Across servo rail,B0,8x12 mm,Power filter
Hardware,Structure,Carbon Fiber Drone Frame,Generic,250mm-FPV,Amazon,CF250,https://example.com/frame,1,ea,59.99,59.99,320,320,0,0,"5\" freestyle frame",B0,250 mm,Airframe
Hardware,Structure,3D Printed Gimbal Set,Custom,HT-GIMBAL,Self,HT-GIMBAL,https://example.com/gimbal,1,set,5.00,5.00,45,45,0,0,Print in PETG,B0,Custom,Camera mount
Hardware,Fasteners,M2 Screw Kit,Generic,M2KIT,Amazon,M2KIT,https://example.com/m2kit,1,set,9.99,9.99,50,50,0,0,Mount gimbal,B0,Assorted,Gimbal hardware
Hardware,Cabling,Silicone Servo Wire 24 AWG,Generic,SW-24AWG,Amazon,SW24,https://example.com/wire,2,m,1.50,3.00,6,12,0,0,Red/black/yellow,B0,Wire,Servo harness
Electronics,Video,FPV Camera,Caddx,Ratel2,GetFPV,CAD-RATEL2,https://example.com/camera,1,ea,39.99,39.99,12,12,5,0.2,Camera mounted on gimbal,B0,19x19 mm,Payload
Electronics,Video,Video Transmitter 800 mW,AKK,FX2,Amazon,AKK-FX2,https://example.com/vtx,1,ea,29.99,29.99,15,15,5,0.7,Mount near FC,B0,36x36 mm,Video link
Power,Battery,LiPo 6S 1300 mAh,Tattu,R-Line,Tattu,TATTU1300,https://example.com/lipo,1,ea,49.99,49.99,200,200,22.2,60,Primary flight battery,B0,Standard,Power
Consumables,Fasteners,Zip Ties 150 mm,Generic,ZT-150,HomeDepot,ZT150,https://example.com/ziptie,10,ea,0.06,0.60,0.3,3,0,0,Cable routing,B0,150 mm,Airframe
